,Unnamed: 0,corpus,corpus_path,extracted_filename,phone,pred_phone,next_phone,start_time,end_time,duration,word,pred_word,next_word,is_word_onset,speaker,gender,f1,f2,deltaFormant,norm_f1,norm_f2,norm_deltaFormant,norm_duration,label,norm_duration_fix
0,0,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa1,dr1_fcjf0_had_eh_6642.wav,eh,hv,dcl,0.415125,0.54825,0.133125,had,she,,False,fcjf0,f,732.0,1929.0,1197.0,0.1958622990066705,0.1669203683530691,0.0712660132566394,0.4734931300266882,0,0.1773782346779816
1,1,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa2,dr1_fcjf0_dont_ae_4600.wav,AE,n,s,0.2875,0.429,0.1415,don't,,ask,True,fcjf0,f,743.0,1892.0,1149.0,0.3699621203459332,-0.0826171520131352,-0.2051597351327498,0.6593875213061652,1,0.24701729989490054
2,2,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa2,dr1_fcjf0_carry_eh_12540.wav,eh,k,r,0.78375,0.8459375,0.0621875,carry,to,,False,fcjf0,f,647.0,1899.0,1252.0,-1.1494545022512683,-0.0354073508627722,0.3880038499528145,-1.1010601095420105,0,-0.4124750415996504
3,3,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa2,dr1_fcjf0_rag_ae_22266.wav,AE,r,gcl,1.391625,1.556125,0.1645000000000001,rag,oily,like,False,fcjf0,f,731.0,1875.0,1144.0,0.180035042521283,-0.1972695262354453,-0.2339540839233111,1.169903461536371,1,0.4382648819831556
4,4,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sa2,dr1_fcjf0_that_ae_29490.wav,AE,dh,tcl,1.843125,2.0174375,0.1743125000000003,that,like,,False,fcjf0,f,726.0,1763.0,1037.0,0.1008987600943454,-0.9526263446412534,-0.8501531480413247,1.3877050990802402,1,0.5198569210805921
5,5,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si1027,dr1_fcjf0_even_eh_7436.wav,eh,n,n,0.46475,0.6475,0.1827499999999999,even,,then,True,fcjf0,f,801.0,2088.0,1287.0,1.2879429964984093,1.2392572801970287,0.5895642914867442,1.5749867619364215,0,0.5900156808140521
6,6,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si1027,dr1_fcjf0_catch_ae_41210.wav,AE,k,tcl,2.575625,2.69,0.1143749999999999,catch,could,,False,fcjf0,f,738.0,1973.0,1235.0,0.2908258379189956,0.4636676898696366,0.2901030640649059,0.0573116570129326,1,0.02146987971472988
7,7,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si1657,dr1_fcjf0_and_eh_27350.wav,eh,q,ng,1.709375,1.7466875,0.0373124999999998,and,someone,go,False,fcjf0,f,633.0,2288.0,1655.0,-1.3710360930466936,2.588108741635972,2.7088283624720617,-1.6531941970735944,0,-0.6193134591842316
8,8,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si648,dr1_fcjf0_have_ae_12040.wav,AE,hv,v,0.7525,0.8625,0.1100000000000001,have,may,a,False,fcjf0,f,753.0,1660.0,907.0,0.5282346851998083,-1.647284847282309,-1.5988062165959205,-0.0397973533569385,1,-0.014908736443360245
9,9,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/si648,dr1_fcjf0_next_eh_48570.wav,eh,n,kcl,3.035625,3.2075,0.171875,next,the,,False,fcjf0,f,755.0,2044.0,1289.0,0.5598891981705834,0.9425099586804612,0.6010820310029688,1.333601507588445,0,0.4995888349353668
10,10,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx127,dr1_fcjf0_emperor_eh_5045.wav,eh,q,m,0.3153125,0.3764375,0.0611249999999999,emperor,,had,True,fcjf0,f,813.0,1720.0,907.0,1.4778700743230593,-1.242629408850626,-1.5988062165959205,-1.1246437263461249,0,-0.4213098483809019
11,11,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx127,dr1_fcjf0_had_ae_10160.wav,AE,hv,dx,0.635,0.7275,0.0925,had,emperor,a,False,fcjf0,f,754.0,1867.0,1113.0,0.5440619416851958,-0.2512235846930031,-0.4124790464247917,-0.4282333948364433,1,-0.16042320107572838
12,12,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx127,dr1_fcjf0_temper_eh_18380.wav,eh,t,m,1.14875,1.235,0.0862500000000001,temper,mean,,False,fcjf0,f,743.0,1863.0,1120.0,0.3699621203459332,-0.2782006139217819,-0.3721669581180058,-0.5669605525076915,0,-0.21239265273014427
13,13,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx217,dr1_fcjf0_permanent_eh_9608.wav,eh,nx,n,0.6005,0.6775,0.0769999999999999,permanent,how,are,False,fcjf0,f,707.0,1906.0,1199.0,-0.1998191131280174,0.0118024502875907,0.0827837527728639,-0.7722767458611476,0,-0.289307441178683
14,14,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx217,dr1_fcjf0_their_eh_14590.wav,eh,dh,r,0.911875,1.0025625,0.0906875,their,are,,False,fcjf0,f,564.0,1865.0,1301.0,-2.4631167905384324,-0.2647120993073925,0.6701884681003161,-0.468464270561106,0,-0.17549434205550926
15,15,TIMIT,timit/TIMIT_ORIG/train/dr1/fcjf0/sx217,dr1_fcjf0_their_eh_17545.wav,eh,r,kcl,1.0965625,1.18575,0.0891874999999999,their,are,,False,fcjf0,f,674.0,1836.0,1162.0,-0.7221185771458054,-0.4602955612160392,-0.1302944282772902,-0.5017587884022076,0,-0.1879670104525698
16,16,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa1,dr1_fdaw0_had_ae_6224.wav,AE,hv,dcl,0.389,0.5225,0.1334999999999999,had,she,your,False,fdaw0,f,733.0,1872.0,1139.0,0.5415016839567396,0.1924246175480648,-0.0341453606867118,0.2570346562027171,1,0.09628936657587849
17,17,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa2,dr1_fdaw0_dont_ae_5080.wav,AE,n,s,0.3175,0.455,0.1375,don't,,ask,True,fdaw0,f,766.0,1717.0,951.0,0.9516811032413356,-0.6421176714529729,-0.8543928029608321,0.336789085783326,1,0.12616667424866443
18,18,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa2,dr1_fdaw0_carry_eh_14780.wav,eh,k,r,0.92375,1.015625,0.091875,carry,to,an,False,fdaw0,f,608.0,1981.0,1373.0,-1.0122082375758208,0.7792962917487947,0.9868009238459698,-0.5729098766204795,0,-0.21462136639404475
19,19,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa2,dr1_fdaw0_rag_ae_27279.wav,AE,r,gcl,1.7049375,1.8975,0.1925624999999999,rag,oily,like,False,fdaw0,f,858.0,1745.0,887.0,2.0952116054893,-0.4913616450527855,-1.1336259747988306,1.4346586554788774,1,0.5374464876818518
20,20,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/sa2,dr1_fdaw0_that_ae_36570.wav,AE,dh,tcl,2.285625,2.5525,0.2668750000000002,that,like,,False,fdaw0,f,860.0,1778.0,918.0,2.120070964233821,-0.3136848996525646,-0.9983724071898,2.9163464175311087,1,1.0925108442903213
21,21,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si1271,dr1_fdaw0_has_eh_6960.wav,eh,hh,z,0.435,0.525625,0.090625,has,this,been,False,fdaw0,f,614.0,1774.0,1160.0,-0.9376301613422576,-0.3352214748525913,0.0574780238226314,-0.59783313586442,0,-0.2239580250417904
22,22,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si1271,dr1_fdaw0_been_eh_11004.wav,eh,b,n,0.68775,0.7725,0.0847499999999999,been,has,attributed,False,fdaw0,f,699.0,1725.0,1026.0,0.1188925852998831,-0.5990445210529194,-0.5271664297131777,-0.7149724543109378,0,-0.26784032068619423
23,23,TIMIT,timit/TIMIT_ORIG/train/dr1/fdaw0/si1271,dr1_fdaw0_pressure_eh_59086.wav,eh,r,sh,3.692875,3.7675,0.0746250000000001,pressure,vapor,thermometer,False,fdaw0,f,610.0,1737.0,1127.0,-0.9873488788312996,-0.5344347954528391,-0.0865015804063365,-0.9168508541868476,0,-0.34346725573293124
